Entidad,B6-A-Totalmente de acuerdo-Recuento,B6-A-Totalmente de acuerdo-% del N de fila,B6-A-Totalmente de acuerdo-% de N columnas,B6-A-De acuerdo-Recuento,B6-A-De acuerdo-% del N de fila,B6-A-De acuerdo-% de N columnas,B6-A-En desacuerdo-Recuento,B6-A-En desacuerdo-% del N de fila,B6-A-En desacuerdo-% de N columnas,B6-A-Totalmente en desacuerdo-Recuento,B6-A-Totalmente en desacuerdo-% del N de fila,B6-A-Totalmente en desacuerdo-% de N columnas,B6-A-No sé o no estoy seguro-Recuento,B6-A-No sé o no estoy seguro-% del N de fila,B6-A-No sé o no estoy seguro-% de N columnas,B6-B-Totalmente de acuerdo-Recuento,B6-B-Totalmente de acuerdo-% del N de fila,B6-B-Totalmente de acuerdo-% de N columnas,B6-B-De acuerdo-Recuento,B6-B-De acuerdo-% del N de fila,B6-B-De acuerdo-% de N columnas,B6-B-En desacuerdo-Recuento,B6-B-En desacuerdo-% del N de fila,B6-B-En desacuerdo-% de N columnas,B6-B-Totalmente en desacuerdo-Recuento,B6-B-Totalmente en desacuerdo-% del N de fila,B6-B-Totalmente en desacuerdo-% de N columnas,B6-B-No sé o no estoy seguro-Recuento,B6-B-No sé o no estoy seguro-% del N de fila,B6-B-No sé o no estoy seguro-% de N columnas,B6-C-Totalmente de acuerdo-Recuento,B6-C-Totalmente de acuerdo-% del N de fila,B6-C-Totalmente de acuerdo-% de N columnas,B6-C-De acuerdo-Recuento,B6-C-De acuerdo-% del N de fila,B6-C-De acuerdo-% de N columnas,B6-C-En desacuerdo-Recuento,B6-C-En desacuerdo-% del N de fila,B6-C-En desacuerdo-% de N columnas,B6-C-Totalmente en desacuerdo-Recuento,B6-C-Totalmente en desacuerdo-% del N de fila,B6-C-Totalmente en desacuerdo-% de N columnas,B6-C-No sé o no estoy seguro-Recuento,B6-C-No sé o no estoy seguro-% del N de fila,B6-C-No sé o no estoy seguro-% de N columnas,B6-D-Totalmente de acuerdo-Recuento,B6-D-Totalmente de acuerdo-% del N de fila,B6-D-Totalmente de acuerdo-% de N columnas,B6-D-De acuerdo-Recuento,B6-D-De acuerdo-% del N de fila,B6-D-De acuerdo-% de N columnas,B6-D-En desacuerdo-Recuento,B6-D-En desacuerdo-% del N de fila,B6-D-En desacuerdo-% de N columnas,B6-D-Totalmente en desacuerdo-Recuento,B6-D-Totalmente en desacuerdo-% del N de fila,B6-D-Totalmente en desacuerdo-% de N columnas,B6-D-No sé o no estoy seguro-Recuento,B6-D-No sé o no estoy seguro-% del N de fila,B6-D-No sé o no estoy seguro-% de N columnas,B6-E-Totalmente de acuerdo-Recuento,B6-E-Totalmente de acuerdo-% del N de fila,B6-E-Totalmente de acuerdo-% de N columnas,B6-E-De acuerdo-Recuento,B6-E-De acuerdo-% del N de fila,B6-E-De acuerdo-% de N columnas,B6-E-En desacuerdo-Recuento,B6-E-En desacuerdo-% del N de fila,B6-E-En desacuerdo-% de N columnas,B6-E-Totalmente en desacuerdo-Recuento,B6-E-Totalmente en desacuerdo-% del N de fila,B6-E-Totalmente en desacuerdo-% de N columnas,B6-E-No sé o no estoy seguro-Recuento,B6-E-No sé o no estoy seguro-% del N de fila,B6-E-No sé o no estoy seguro-% de N columnas,B6-F-Totalmente de acuerdo-Recuento,B6-F-Totalmente de acuerdo-% del N de fila,B6-F-Totalmente de acuerdo-% de N columnas,B6-F-De acuerdo-Recuento,B6-F-De acuerdo-% del N de fila,B6-F-De acuerdo-% de N columnas,B6-F-En desacuerdo-Recuento,B6-F-En desacuerdo-% del N de fila,B6-F-En desacuerdo-% de N columnas,B6-F-Totalmente en desacuerdo-Recuento,B6-F-Totalmente en desacuerdo-% del N de fila,B6-F-Totalmente en desacuerdo-% de N columnas,B6-F-No sé o no estoy seguro-Recuento,B6-F-No sé o no estoy seguro-% del N de fila,B6-F-No sé o no estoy seguro-% de N columnas,B6-G-Totalmente de acuerdo-Recuento,B6-G-Totalmente de acuerdo-% del N de fila,B6-G-Totalmente de acuerdo-% de N columnas,B6-G-De acuerdo-Recuento,B6-G-De acuerdo-% del N de fila,B6-G-De acuerdo-% de N columnas,B6-G-En desacuerdo-Recuento,B6-G-En desacuerdo-% del N de fila,B6-G-En desacuerdo-% de N columnas,B6-G-Totalmente en desacuerdo-Recuento,B6-G-Totalmente en desacuerdo-% del N de fila,B6-G-Totalmente en desacuerdo-% de N columnas,B6-G-No sé o no estoy seguro-Recuento,B6-G-No sé o no estoy seguro-% del N de fila,B6-G-No sé o no estoy seguro-% de N columnas,B6-H-Totalmente de acuerdo-Recuento,B6-H-Totalmente de acuerdo-% del N de fila,B6-H-Totalmente de acuerdo-% de N columnas,B6-H-De acuerdo-Recuento,B6-H-De acuerdo-% del N de fila,B6-H-De acuerdo-% de N columnas,B6-H-En desacuerdo-Recuento,B6-H-En desacuerdo-% del N de fila,B6-H-En desacuerdo-% de N columnas,B6-H-Totalmente en desacuerdo-Recuento,B6-H-Totalmente en desacuerdo-% del N de fila,B6-H-Totalmente en desacuerdo-% de N columnas,B6-H-No sé o no estoy seguro-Recuento,B6-H-No sé o no estoy seguro-% del N de fila,B6-H-No sé o no estoy seguro-% de N columnas,B6-I-Totalmente de acuerdo-Recuento,B6-I-Totalmente de acuerdo-% del N de fila,B6-I-Totalmente de acuerdo-% de N columnas,B6-I-De acuerdo-Recuento,B6-I-De acuerdo-% del N de fila,B6-I-De acuerdo-% de N columnas,B6-I-En desacuerdo-Recuento,B6-I-En desacuerdo-% del N de fila,B6-I-En desacuerdo-% de N columnas,B6-I-Totalmente en desacuerdo-Recuento,B6-I-Totalmente en desacuerdo-% del N de fila,B6-I-Totalmente en desacuerdo-% de N columnas,B6-I-No sé o no estoy seguro-Recuento,B6-I-No sé o no estoy seguro-% del N de fila,B6-I-No sé o no estoy seguro-% de N columnas
AGUASCALIENTES,62.000,0.212,0.060,187.000,0.638,0.057,18.000,0.061,0.034,1.000,0.003,0.014,25.000,0.085,0.064,77.000,0.263,0.057,177.000,0.604,0.053,19.000,0.065,0.053,2.000,0.007,0.043,18.000,0.061,0.079,100.000,0.341,0.056,174.000,0.594,0.055,10.000,0.034,0.039,2.000,0.007,0.063,7.000,0.024,0.072,120.000,0.410,0.055,162.000,0.553,0.056,6.000,0.020,0.040,0.000,0.000,0.000,5.000,0.017,0.063,64.000,0.218,0.049,202.000,0.689,0.059,8.000,0.027,0.030,1.000,0.003,0.056,18.000,0.061,0.054,102.000,0.348,0.049,171.000,0.584,0.058,13.000,0.044,0.060,1.000,0.003,0.036,6.000,0.020,0.074,133.000,0.454,0.051,156.000,0.532,0.059,2.000,0.007,0.043,0.000,0.000,0.000,2.000,0.007,0.067,85.000,0.290,0.049,172.000,0.587,0.056,17.000,0.058,0.062,1.000,0.003,0.034,18.000,0.061,0.078,78.000,0.266,0.057,182.000,0.621,0.056,15.000,0.051,0.046,0.000,0.000,0.000,18.000,0.061,0.051
BAJA CALIFORNIA,5.000,0.122,0.005,24.000,0.585,0.007,7.000,0.171,0.013,0.000,0.000,0.000,5.000,0.122,0.013,7.000,0.171,0.005,29.000,0.707,0.009,2.000,0.049,0.006,0.000,0.000,0.000,3.000,0.073,0.013,14.000,0.341,0.008,25.000,0.610,0.008,1.000,0.024,0.004,0.000,0.000,0.000,1.000,0.024,0.010,16.000,0.390,0.007,24.000,0.585,0.008,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.024,0.013,10.000,0.244,0.008,25.000,0.610,0.007,4.000,0.098,0.015,0.000,0.000,0.000,2.000,0.049,0.006,15.000,0.366,0.007,26.000,0.634,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24.000,0.585,0.009,16.000,0.390,0.006,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.024,0.033,18.000,0.439,0.010,19.000,0.463,0.006,2.000,0.049,0.007,0.000,0.000,0.000,2.000,0.049,0.009,12.000,0.293,0.009,23.000,0.561,0.007,3.000,0.073,0.009,0.000,0.000,0.000,3.000,0.073,0.008
BAJA CALIFORNIA SUR,31.000,0.146,0.030,148.000,0.698,0.045,18.000,0.085,0.034,2.000,0.009,0.029,13.000,0.061,0.033,62.000,0.292,0.046,137.000,0.646,0.041,6.000,0.028,0.017,0.000,0.000,0.000,7.000,0.033,0.031,76.000,0.358,0.042,124.000,0.585,0.039,7.000,0.033,0.027,0.000,0.000,0.000,5.000,0.024,0.052,105.000,0.495,0.048,101.000,0.476,0.035,3.000,0.014,0.020,0.000,0.000,0.000,3.000,0.014,0.038,46.000,0.217,0.035,146.000,0.689,0.043,5.000,0.024,0.019,1.000,0.005,0.056,14.000,0.066,0.042,86.000,0.406,0.041,117.000,0.552,0.040,5.000,0.024,0.023,0.000,0.000,0.000,4.000,0.019,0.049,119.000,0.561,0.045,91.000,0.429,0.035,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.009,0.067,76.000,0.358,0.044,123.000,0.580,0.040,7.000,0.033,0.026,1.000,0.005,0.034,5.000,0.024,0.022,53.000,0.250,0.039,127.000,0.599,0.039,16.000,0.075,0.049,0.000,0.000,0.000,16.000,0.075,0.045
CAMPECHE,31.000,0.166,0.030,115.000,0.615,0.035,28.000,0.150,0.052,3.000,0.016,0.043,10.000,0.053,0.026,40.000,0.214,0.029,121.000,0.647,0.036,16.000,0.086,0.045,3.000,0.016,0.065,7.000,0.037,0.031,58.000,0.310,0.032,118.000,0.631,0.037,7.000,0.037,0.027,2.000,0.011,0.063,2.000,0.011,0.021,65.000,0.348,0.030,110.000,0.588,0.038,9.000,0.048,0.060,3.000,0.016,0.158,0.000,0.000,0.000,40.000,0.214,0.031,126.000,0.674,0.037,8.000,0.043,0.030,1.000,0.005,0.056,12.000,0.064,0.036,65.000,0.348,0.031,113.000,0.604,0.039,6.000,0.032,0.028,1.000,0.005,0.036,2.000,0.011,0.025,83.000,0.444,0.032,99.000,0.529,0.038,2.000,0.011,0.043,2.000,0.011,0.125,1.000,0.005,0.033,54.000,0.289,0.031,109.000,0.583,0.035,11.000,0.059,0.040,0.000,0.000,0.000,13.000,0.070,0.057,42.000,0.225,0.031,122.000,0.652,0.038,13.000,0.070,0.040,0.000,0.000,0.000,10.000,0.053,0.028
CHIAPAS,5.000,0.083,0.005,41.000,0.683,0.012,6.000,0.100,0.011,0.000,0.000,0.000,8.000,0.133,0.020,8.000,0.133,0.006,32.000,0.533,0.010,9.000,0.150,0.025,1.000,0.017,0.022,10.000,0.167,0.044,9.000,0.150,0.005,40.000,0.667,0.013,7.000,0.117,0.027,1.000,0.017,0.031,3.000,0.050,0.031,14.000,0.233,0.006,34.000,0.567,0.012,7.000,0.117,0.047,0.000,0.000,0.000,5.000,0.083,0.063,8.000,0.133,0.006,35.000,0.583,0.010,7.000,0.117,0.026,0.000,0.000,0.000,10.000,0.167,0.030,22.000,0.367,0.011,37.000,0.617,0.013,1.000,0.017,0.005,0.000,0.000,0.000,0.000,0.000,0.000,20.000,0.333,0.008,40.000,0.667,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.000,0.283,0.010,31.000,0.517,0.010,6.000,0.100,0.022,0.000,0.000,0.000,6.000,0.100,0.026,9.000,0.150,0.007,38.000,0.633,0.012,5.000,0.083,0.015,1.000,0.017,0.026,7.000,0.117,0.020
CHIHUAHUA,39.000,0.152,0.038,161.000,0.629,0.049,26.000,0.102,0.049,7.000,0.027,0.100,23.000,0.090,0.059,63.000,0.246,0.046,169.000,0.660,0.051,13.000,0.051,0.036,1.000,0.004,0.022,10.000,0.039,0.044,83.000,0.324,0.046,161.000,0.629,0.051,11.000,0.043,0.043,0.000,0.000,0.000,1.000,0.004,0.010,119.000,0.465,0.055,132.000,0.516,0.045,4.000,0.016,0.027,1.000,0.004,0.053,0.000,0.000,0.000,77.000,0.301,0.059,155.000,0.605,0.046,12.000,0.047,0.045,1.000,0.004,0.056,11.000,0.043,0.033,89.000,0.348,0.043,143.000,0.559,0.049,17.000,0.066,0.078,1.000,0.004,0.036,6.000,0.023,0.074,131.000,0.512,0.050,121.000,0.473,0.046,2.000,0.008,0.043,1.000,0.004,0.063,1.000,0.004,0.033,88.000,0.344,0.051,145.000,0.566,0.047,10.000,0.039,0.037,2.000,0.008,0.069,11.000,0.043,0.048,73.000,0.285,0.053,143.000,0.559,0.044,18.000,0.070,0.055,1.000,0.004,0.026,21.000,0.082,0.059
CIUDAD DE MÉXICO,33.000,0.137,0.032,151.000,0.627,0.046,34.000,0.141,0.064,3.000,0.012,0.043,20.000,0.083,0.051,58.000,0.241,0.043,148.000,0.614,0.044,23.000,0.095,0.064,0.000,0.000,0.000,12.000,0.050,0.053,79.000,0.328,0.044,134.000,0.556,0.042,19.000,0.079,0.075,2.000,0.008,0.063,7.000,0.029,0.072,97.000,0.402,0.045,131.000,0.544,0.045,9.000,0.037,0.060,1.000,0.004,0.053,3.000,0.012,0.038,48.000,0.199,0.037,159.000,0.660,0.047,15.000,0.062,0.057,0.000,0.000,0.000,19.000,0.079,0.057,102.000,0.423,0.049,122.000,0.506,0.042,13.000,0.054,0.060,0.000,0.000,0.000,4.000,0.017,0.049,125.000,0.519,0.048,115.000,0.477,0.044,1.000,0.004,0.021,0.000,0.000,0.000,0.000,0.000,0.000,66.000,0.274,0.038,141.000,0.585,0.046,20.000,0.083,0.073,1.000,0.004,0.034,13.000,0.054,0.057,46.000,0.191,0.034,149.000,0.618,0.046,21.000,0.087,0.065,2.000,0.008,0.051,23.000,0.095,0.065
COAHUILA,15.000,0.181,0.014,48.000,0.578,0.015,13.000,0.157,0.024,1.000,0.012,0.014,6.000,0.072,0.015,18.000,0.217,0.013,55.000,0.663,0.016,5.000,0.060,0.014,1.000,0.012,0.022,4.000,0.048,0.018,19.000,0.229,0.011,54.000,0.651,0.017,6.000,0.072,0.024,2.000,0.024,0.063,2.000,0.024,0.021,27.000,0.325,0.012,51.000,0.614,0.017,2.000,0.024,0.013,1.000,0.012,0.053,2.000,0.024,0.025,17.000,0.205,0.013,54.000,0.651,0.016,5.000,0.060,0.019,0.000,0.000,0.000,7.000,0.084,0.021,29.000,0.349,0.014,44.000,0.530,0.015,5.000,0.060,0.023,1.000,0.012,0.036,4.000,0.048,0.049,32.000,0.386,0.012,48.000,0.578,0.018,1.000,0.012,0.021,1.000,0.012,0.063,1.000,0.012,0.033,27.000,0.325,0.016,45.000,0.542,0.015,7.000,0.084,0.026,2.000,0.024,0.069,2.000,0.024,0.009,17.000,0.205,0.012,50.000,0.602,0.015,7.000,0.084,0.022,4.000,0.048,0.103,5.000,0.060,0.014
COLIMA,48.000,0.242,0.046,117.000,0.591,0.035,16.000,0.081,0.030,3.000,0.015,0.043,14.000,0.071,0.036,51.000,0.258,0.037,111.000,0.561,0.033,24.000,0.121,0.067,2.000,0.010,0.043,10.000,0.051,0.044,73.000,0.369,0.041,108.000,0.545,0.034,12.000,0.061,0.047,2.000,0.010,0.063,3.000,0.015,0.031,90.000,0.455,0.041,100.000,0.505,0.034,5.000,0.025,0.034,1.000,0.005,0.053,2.000,0.010,0.025,61.000,0.308,0.047,116.000,0.586,0.034,7.000,0.035,0.026,0.000,0.000,0.000,14.000,0.071,0.042,89.000,0.447,0.043,99.000,0.497,0.034,6.000,0.030,0.028,1.000,0.005,0.036,4.000,0.020,0.049,106.000,0.533,0.040,90.000,0.452,0.034,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.015,0.100,67.000,0.337,0.039,106.000,0.533,0.034,14.000,0.070,0.051,1.000,0.005,0.034,11.000,0.055,0.048,48.000,0.241,0.035,125.000,0.628,0.038,12.000,0.060,0.037,1.000,0.005,0.026,13.000,0.065,0.037
DURANGO,55.000,0.206,0.053,179.000,0.670,0.054,17.000,0.064,0.032,2.000,0.007,0.029,14.000,0.052,0.036,66.000,0.247,0.048,168.000,0.629,0.050,20.000,0.075,0.056,0.000,0.000,0.000,13.000,0.049,0.057,91.000,0.341,0.051,153.000,0.573,0.048,19.000,0.071,0.075,1.000,0.004,0.031,3.000,0.011,0.031,111.000,0.416,0.051,148.000,0.554,0.051,3.000,0.011,0.020,0.000,0.000,0.000,5.000,0.019,0.063,61.000,0.228,0.047,182.000,0.682,0.053,10.000,0.037,0.038,0.000,0.000,0.000,14.000,0.052,0.042,114.000,0.427,0.055,140.000,0.524,0.048,8.000,0.030,0.037,1.000,0.004,0.036,4.000,0.015,0.049,137.000,0.513,0.052,124.000,0.464,0.047,1.000,0.004,0.021,1.000,0.004,0.063,4.000,0.015,0.133,97.000,0.363,0.056,147.000,0.551,0.048,11.000,0.041,0.040,0.000,0.000,0.000,12.000,0.045,0.052,75.000,0.281,0.055,163.000,0.610,0.050,10.000,0.037,0.031,1.000,0.004,0.026,18.000,0.067,0.051
ESTADO DE MÉXICO,44.000,0.239,0.042,109.000,0.592,0.033,17.000,0.092,0.032,1.000,0.005,0.014,13.000,0.071,0.033,54.000,0.293,0.040,111.000,0.603,0.033,14.000,0.076,0.039,0.000,0.000,0.000,5.000,0.027,0.022,60.000,0.326,0.033,115.000,0.625,0.036,5.000,0.027,0.020,0.000,0.000,0.000,4.000,0.022,0.041,83.000,0.451,0.038,94.000,0.511,0.032,5.000,0.027,0.034,0.000,0.000,0.000,2.000,0.011,0.025,52.000,0.283,0.040,119.000,0.647,0.035,4.000,0.022,0.015,0.000,0.000,0.000,9.000,0.049,0.027,84.000,0.457,0.040,92.000,0.500,0.031,7.000,0.038,0.032,0.000,0.000,0.000,1.000,0.005,0.012,92.000,0.500,0.035,88.000,0.478,0.034,2.000,0.011,0.043,0.000,0.000,0.000,2.000,0.011,0.067,66.000,0.359,0.038,98.000,0.533,0.032,9.000,0.049,0.033,1.000,0.005,0.034,10.000,0.054,0.043,51.000,0.277,0.037,114.000,0.620,0.035,10.000,0.054,0.031,0.000,0.000,0.000,9.000,0.049,0.025
GUANAJUATO,65.000,0.256,0.063,151.000,0.594,0.046,29.000,0.114,0.054,1.000,0.004,0.014,8.000,0.031,0.020,88.000,0.346,0.065,151.000,0.594,0.045,9.000,0.035,0.025,3.000,0.012,0.065,3.000,0.012,0.013,110.000,0.433,0.061,133.000,0.524,0.042,6.000,0.024,0.024,1.000,0.004,0.031,4.000,0.016,0.041,113.000,0.445,0.052,137.000,0.539,0.047,2.000,0.008,0.013,1.000,0.004,0.053,1.000,0.004,0.013,78.000,0.307,0.059,155.000,0.610,0.046,12.000,0.047,0.045,1.000,0.004,0.056,8.000,0.031,0.024,109.000,0.429,0.052,134.000,0.528,0.046,9.000,0.035,0.041,0.000,0.000,0.000,2.000,0.008,0.025,127.000,0.500,0.048,124.000,0.488,0.047,1.000,0.004,0.021,1.000,0.004,0.063,1.000,0.004,0.033,93.000,0.366,0.054,147.000,0.579,0.048,8.000,0.031,0.029,1.000,0.004,0.034,5.000,0.020,0.022,82.000,0.323,0.060,147.000,0.579,0.045,10.000,0.039,0.031,4.000,0.016,0.103,11.000,0.043,0.031
GUERRERO,3.000,0.167,0.003,15.000,0.833,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.222,0.003,13.000,0.722,0.004,1.000,0.056,0.003,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.222,0.002,13.000,0.722,0.004,1.000,0.056,0.004,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.278,0.002,11.000,0.611,0.004,1.000,0.056,0.007,0.000,0.000,0.000,1.000,0.056,0.013,4.000,0.222,0.003,12.000,0.667,0.004,1.000,0.056,0.004,0.000,0.000,0.000,1.000,0.056,0.003,4.000,0.222,0.002,13.000,0.722,0.004,0.000,0.000,0.000,1.000,0.056,0.036,0.000,0.000,0.000,5.000,0.278,0.002,13.000,0.722,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.222,0.002,13.000,0.722,0.004,1.000,0.056,0.004,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.278,0.004,12.000,0.667,0.004,1.000,0.056,0.003,0.000,0.000,0.000,0.000,0.000,0.000
HIDALGO,27.000,0.155,0.026,110.000,0.632,0.033,19.000,0.109,0.036,3.000,0.017,0.043,15.000,0.086,0.038,44.000,0.253,0.032,109.000,0.626,0.033,15.000,0.086,0.042,2.000,0.011,0.043,4.000,0.023,0.018,57.000,0.328,0.032,98.000,0.563,0.031,10.000,0.057,0.039,4.000,0.023,0.125,5.000,0.029,0.052,66.000,0.379,0.030,97.000,0.557,0.033,5.000,0.029,0.034,1.000,0.006,0.053,5.000,0.029,0.063,39.000,0.224,0.030,107.000,0.615,0.031,14.000,0.080,0.053,3.000,0.017,0.167,11.000,0.063,0.033,62.000,0.356,0.030,100.000,0.575,0.034,9.000,0.052,0.041,1.000,0.006,0.036,2.000,0.011,0.025,83.000,0.477,0.032,88.000,0.506,0.034,2.000,0.011,0.043,1.000,0.006,0.063,0.000,0.000,0.000,54.000,0.310,0.031,103.000,0.592,0.033,12.000,0.069,0.044,1.000,0.006,0.034,4.000,0.023,0.017,46.000,0.264,0.034,108.000,0.621,0.033,10.000,0.057,0.031,0.000,0.000,0.000,10.000,0.057,0.028
JALISCO,27.000,0.147,0.026,113.000,0.614,0.034,23.000,0.125,0.043,2.000,0.011,0.029,19.000,0.103,0.049,47.000,0.255,0.035,123.000,0.668,0.037,8.000,0.043,0.022,1.000,0.005,0.022,5.000,0.027,0.022,63.000,0.342,0.035,109.000,0.592,0.035,7.000,0.038,0.027,0.000,0.000,0.000,5.000,0.027,0.052,69.000,0.375,0.032,107.000,0.582,0.037,5.000,0.027,0.034,0.000,0.000,0.000,3.000,0.016,0.038,46.000,0.250,0.035,119.000,0.647,0.035,7.000,0.038,0.026,1.000,0.005,0.056,11.000,0.060,0.033,79.000,0.429,0.038,99.000,0.538,0.034,4.000,0.022,0.018,0.000,0.000,0.000,2.000,0.011,0.025,93.000,0.505,0.035,90.000,0.489,0.034,1.000,0.005,0.021,0.000,0.000,0.000,0.000,0.000,0.000,57.000,0.310,0.033,112.000,0.609,0.036,6.000,0.033,0.022,0.000,0.000,0.000,9.000,0.049,0.039,39.000,0.212,0.029,118.000,0.641,0.036,11.000,0.060,0.034,1.000,0.005,0.026,15.000,0.082,0.042
MICHOACÁN,9.000,0.191,0.009,25.000,0.532,0.008,5.000,0.106,0.009,0.000,0.000,0.000,8.000,0.170,0.020,7.000,0.149,0.005,35.000,0.745,0.010,0.000,0.000,0.000,1.000,0.021,0.022,4.000,0.085,0.018,10.000,0.213,0.006,36.000,0.766,0.011,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.021,0.010,15.000,0.319,0.007,31.000,0.660,0.011,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.021,0.013,10.000,0.213,0.008,29.000,0.617,0.009,1.000,0.021,0.004,0.000,0.000,0.000,7.000,0.149,0.021,17.000,0.362,0.008,28.000,0.596,0.010,1.000,0.021,0.005,0.000,0.000,0.000,1.000,0.021,0.012,25.000,0.532,0.010,22.000,0.468,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.000,0.234,0.006,32.000,0.681,0.010,3.000,0.064,0.011,0.000,0.000,0.000,1.000,0.021,0.004,9.000,0.191,0.007,28.000,0.596,0.009,4.000,0.085,0.012,0.000,0.000,0.000,6.000,0.128,0.017
MORELOS,35.000,0.210,0.034,115.000,0.689,0.035,5.000,0.030,0.009,1.000,0.006,0.014,11.000,0.066,0.028,52.000,0.311,0.038,103.000,0.617,0.031,7.000,0.042,0.020,1.000,0.006,0.022,4.000,0.024,0.018,60.000,0.359,0.033,101.000,0.605,0.032,3.000,0.018,0.012,0.000,0.000,0.000,3.000,0.018,0.031,71.000,0.425,0.033,90.000,0.539,0.031,3.000,0.018,0.020,0.000,0.000,0.000,3.000,0.018,0.038,41.000,0.246,0.031,111.000,0.665,0.033,10.000,0.060,0.038,0.000,0.000,0.000,5.000,0.030,0.015,70.000,0.419,0.034,88.000,0.527,0.030,6.000,0.036,0.028,1.000,0.006,0.036,2.000,0.012,0.025,83.000,0.497,0.032,82.000,0.491,0.031,1.000,0.006,0.021,1.000,0.006,0.063,0.000,0.000,0.000,56.000,0.335,0.033,99.000,0.593,0.032,5.000,0.030,0.018,1.000,0.006,0.034,6.000,0.036,0.026,47.000,0.281,0.034,102.000,0.611,0.031,7.000,0.042,0.022,1.000,0.006,0.026,10.000,0.060,0.028
