NAYARIT,36.000,0.190,0.035,123.000,0.651,0.037,16.000,0.085,0.030,1.000,0.005,0.014,13.000,0.069,0.033,49.000,0.259,0.036,126.000,0.667,0.038,7.000,0.037,0.020,0.000,0.000,0.000,7.000,0.037,0.031,64.000,0.339,0.036,109.000,0.577,0.035,10.000,0.053,0.039,0.000,0.000,0.000,6.000,0.032,0.062,81.000,0.429,0.037,99.000,0.524,0.034,2.000,0.011,0.013,1.000,0.005,0.053,6.000,0.032,0.075,49.000,0.259,0.037,117.000,0.619,0.034,8.000,0.042,0.030,0.000,0.000,0.000,15.000,0.079,0.045,82.000,0.434,0.039,92.000,0.487,0.031,10.000,0.053,0.046,0.000,0.000,0.000,5.000,0.026,0.062,108.000,0.571,0.041,78.000,0.413,0.030,2.000,0.011,0.043,1.000,0.005,0.063,0.000,0.000,0.000,64.000,0.339,0.037,110.000,0.582,0.036,7.000,0.037,0.026,0.000,0.000,0.000,8.000,0.042,0.035,46.000,0.243,0.034,119.000,0.630,0.037,12.000,0.063,0.037,0.000,0.000,0.000,12.000,0.063,0.034
NUEVO LEÓN,3.000,0.091,0.003,22.000,0.667,0.007,6.000,0.182,0.011,0.000,0.000,0.000,2.000,0.061,0.005,9.000,0.273,0.007,21.000,0.636,0.006,3.000,0.091,0.008,0.000,0.000,0.000,0.000,0.000,0.000,11.000,0.333,0.006,17.000,0.515,0.005,4.000,0.121,0.016,0.000,0.000,0.000,1.000,0.030,0.010,13.000,0.394,0.006,17.000,0.515,0.006,3.000,0.091,0.020,0.000,0.000,0.000,0.000,0.000,0.000,8.000,0.242,0.006,21.000,0.636,0.006,1.000,0.030,0.004,0.000,0.000,0.000,3.000,0.091,0.009,11.000,0.333,0.005,21.000,0.636,0.007,1.000,0.030,0.005,0.000,0.000,0.000,0.000,0.000,0.000,16.000,0.485,0.006,16.000,0.485,0.006,0.000,0.000,0.000,1.000,0.030,0.063,0.000,0.000,0.000,10.000,0.303,0.006,18.000,0.545,0.006,1.000,0.030,0.004,1.000,0.030,0.034,3.000,0.091,0.013,8.000,0.242,0.006,20.000,0.606,0.006,3.000,0.091,0.009,0.000,0.000,0.000,2.000,0.061,0.006
PUEBLA,49.000,0.257,0.047,118.000,0.618,0.036,14.000,0.073,0.026,2.000,0.010,0.029,8.000,0.042,0.020,56.000,0.293,0.041,121.000,0.634,0.036,7.000,0.037,0.020,2.000,0.010,0.043,5.000,0.026,0.022,70.000,0.366,0.039,108.000,0.565,0.034,9.000,0.047,0.035,1.000,0.005,0.031,3.000,0.016,0.031,79.000,0.414,0.036,103.000,0.539,0.035,7.000,0.037,0.047,0.000,0.000,0.000,2.000,0.010,0.025,45.000,0.236,0.034,125.000,0.654,0.037,8.000,0.042,0.030,0.000,0.000,0.000,13.000,0.068,0.039,68.000,0.356,0.033,113.000,0.592,0.039,6.000,0.031,0.028,2.000,0.010,0.071,2.000,0.010,0.025,89.000,0.466,0.034,97.000,0.508,0.037,5.000,0.026,0.106,0.000,0.000,0.000,0.000,0.000,0.000,73.000,0.382,0.042,101.000,0.529,0.033,6.000,0.031,0.022,1.000,0.005,0.034,10.000,0.052,0.043,60.000,0.314,0.044,113.000,0.592,0.035,8.000,0.042,0.025,1.000,0.005,0.026,9.000,0.047,0.025
QUERÉTARO,37.000,0.154,0.036,141.000,0.585,0.043,38.000,0.158,0.071,9.000,0.037,0.129,16.000,0.066,0.041,74.000,0.307,0.054,132.000,0.548,0.039,20.000,0.083,0.056,5.000,0.021,0.109,10.000,0.041,0.044,86.000,0.357,0.048,134.000,0.556,0.042,16.000,0.066,0.063,1.000,0.004,0.031,4.000,0.017,0.041,105.000,0.436,0.048,123.000,0.510,0.042,9.000,0.037,0.060,2.000,0.008,0.105,2.000,0.008,0.025,67.000,0.278,0.051,138.000,0.573,0.041,16.000,0.066,0.060,2.000,0.008,0.111,18.000,0.075,0.054,104.000,0.432,0.050,120.000,0.498,0.041,12.000,0.050,0.055,2.000,0.008,0.071,3.000,0.012,0.037,130.000,0.539,0.050,106.000,0.440,0.040,3.000,0.012,0.064,2.000,0.008,0.125,0.000,0.000,0.000,71.000,0.295,0.041,141.000,0.585,0.046,20.000,0.083,0.073,3.000,0.012,0.103,6.000,0.025,0.026,47.000,0.195,0.034,152.000,0.631,0.047,21.000,0.087,0.065,3.000,0.012,0.077,18.000,0.075,0.051
QUINTANA ROO,43.000,0.212,0.041,118.000,0.581,0.036,20.000,0.099,0.037,3.000,0.015,0.043,19.000,0.094,0.049,51.000,0.251,0.037,120.000,0.591,0.036,16.000,0.079,0.045,1.000,0.005,0.022,15.000,0.074,0.066,72.000,0.355,0.040,117.000,0.576,0.037,11.000,0.054,0.043,1.000,0.005,0.031,2.000,0.010,0.021,78.000,0.384,0.036,112.000,0.552,0.038,11.000,0.054,0.074,0.000,0.000,0.000,2.000,0.010,0.025,51.000,0.251,0.039,125.000,0.616,0.037,10.000,0.049,0.038,0.000,0.000,0.000,17.000,0.084,0.051,71.000,0.350,0.034,123.000,0.606,0.042,6.000,0.030,0.028,2.000,0.010,0.071,1.000,0.005,0.012,90.000,0.443,0.034,107.000,0.527,0.041,5.000,0.025,0.106,0.000,0.000,0.000,1.000,0.005,0.033,68.000,0.335,0.040,115.000,0.567,0.037,10.000,0.049,0.037,1.000,0.005,0.034,9.000,0.044,0.039,59.000,0.291,0.043,118.000,0.581,0.036,7.000,0.034,0.022,2.000,0.010,0.051,17.000,0.084,0.048
SAN LUIS POTOSÍ,43.000,0.177,0.041,155.000,0.638,0.047,26.000,0.107,0.049,3.000,0.012,0.043,16.000,0.066,0.041,58.000,0.239,0.043,156.000,0.642,0.047,17.000,0.070,0.047,2.000,0.008,0.043,10.000,0.041,0.044,77.000,0.317,0.043,148.000,0.609,0.047,14.000,0.058,0.055,0.000,0.000,0.000,4.000,0.016,0.041,83.000,0.342,0.038,150.000,0.617,0.051,7.000,0.029,0.047,0.000,0.000,0.000,3.000,0.012,0.038,53.000,0.218,0.040,161.000,0.663,0.047,14.000,0.058,0.053,0.000,0.000,0.000,15.000,0.062,0.045,82.000,0.337,0.039,146.000,0.601,0.050,9.000,0.037,0.041,1.000,0.004,0.036,5.000,0.021,0.062,116.000,0.477,0.044,121.000,0.498,0.046,3.000,0.012,0.064,1.000,0.004,0.063,2.000,0.008,0.067,68.000,0.280,0.040,148.000,0.609,0.048,11.000,0.045,0.040,2.000,0.008,0.069,14.000,0.058,0.061,63.000,0.259,0.046,155.000,0.638,0.048,11.000,0.045,0.034,1.000,0.004,0.026,13.000,0.053,0.037
SINALOA,99.000,0.261,0.095,228.000,0.600,0.069,20.000,0.053,0.037,5.000,0.013,0.071,28.000,0.074,0.072,100.000,0.263,0.073,229.000,0.603,0.069,28.000,0.074,0.078,6.000,0.016,0.130,17.000,0.045,0.075,150.000,0.395,0.083,206.000,0.542,0.065,10.000,0.026,0.039,6.000,0.016,0.188,8.000,0.021,0.082,167.000,0.439,0.077,192.000,0.505,0.066,10.000,0.026,0.067,2.000,0.005,0.105,9.000,0.024,0.113,106.000,0.279,0.081,233.000,0.613,0.068,18.000,0.047,0.068,0.000,0.000,0.000,23.000,0.061,0.068,158.000,0.416,0.076,197.000,0.518,0.067,13.000,0.034,0.060,2.000,0.005,0.071,10.000,0.026,0.123,195.000,0.513,0.074,182.000,0.479,0.069,1.000,0.003,0.021,1.000,0.003,0.063,1.000,0.003,0.033,136.000,0.358,0.079,221.000,0.582,0.072,10.000,0.026,0.037,1.000,0.003,0.034,12.000,0.032,0.052,110.000,0.289,0.080,225.000,0.592,0.069,16.000,0.042,0.049,2.000,0.005,0.051,27.000,0.071,0.076
SONORA,47.000,0.280,0.045,97.000,0.577,0.029,13.000,0.077,0.024,2.000,0.012,0.029,9.000,0.054,0.023,47.000,0.280,0.035,105.000,0.625,0.031,6.000,0.036,0.017,3.000,0.018,0.065,7.000,0.042,0.031,66.000,0.393,0.037,93.000,0.554,0.029,5.000,0.030,0.020,3.000,0.018,0.094,1.000,0.006,0.010,77.000,0.458,0.035,83.000,0.494,0.028,6.000,0.036,0.040,1.000,0.006,0.053,1.000,0.006,0.013,51.000,0.304,0.039,101.000,0.601,0.030,8.000,0.048,0.030,0.000,0.000,0.000,8.000,0.048,0.024,70.000,0.417,0.034,91.000,0.542,0.031,3.000,0.018,0.014,2.000,0.012,0.071,2.000,0.012,0.025,87.000,0.518,0.033,80.000,0.476,0.031,1.000,0.006,0.021,0.000,0.000,0.000,0.000,0.000,0.000,59.000,0.351,0.034,99.000,0.589,0.032,7.000,0.042,0.026,1.000,0.006,0.034,2.000,0.012,0.009,48.000,0.286,0.035,103.000,0.613,0.032,9.000,0.054,0.028,2.000,0.012,0.051,6.000,0.036,0.017
TABASCO,11.000,0.175,0.011,39.000,0.619,0.012,6.000,0.095,0.011,1.000,0.016,0.014,6.000,0.095,0.015,20.000,0.317,0.015,36.000,0.571,0.011,4.000,0.063,0.011,1.000,0.016,0.022,2.000,0.032,0.009,28.000,0.444,0.016,33.000,0.524,0.010,2.000,0.032,0.008,0.000,0.000,0.000,0.000,0.000,0.000,31.000,0.492,0.014,32.000,0.508,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.000,0.254,0.012,44.000,0.698,0.013,0.000,0.000,0.000,1.000,0.016,0.056,2.000,0.032,0.006,31.000,0.492,0.015,31.000,0.492,0.011,1.000,0.016,0.005,0.000,0.000,0.000,0.000,0.000,0.000,33.000,0.524,0.013,29.000,0.460,0.011,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.016,0.033,25.000,0.397,0.015,32.000,0.508,0.010,5.000,0.079,0.018,0.000,0.000,0.000,1.000,0.016,0.004,21.000,0.333,0.015,34.000,0.540,0.010,3.000,0.048,0.009,1.000,0.016,0.026,4.000,0.063,0.011
TAMAULIPAS,43.000,0.208,0.041,128.000,0.618,0.039,21.000,0.101,0.039,2.000,0.010,0.029,13.000,0.063,0.033,41.000,0.198,0.030,149.000,0.720,0.045,9.000,0.043,0.025,2.000,0.010,0.043,6.000,0.029,0.026,64.000,0.309,0.036,136.000,0.657,0.043,7.000,0.034,0.027,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.411,0.039,117.000,0.565,0.040,3.000,0.014,0.020,1.000,0.005,0.053,1.000,0.005,0.013,52.000,0.251,0.040,145.000,0.700,0.043,4.000,0.019,0.015,0.000,0.000,0.000,6.000,0.029,0.018,68.000,0.329,0.033,123.000,0.594,0.042,13.000,0.063,0.060,0.000,0.000,0.000,3.000,0.014,0.037,97.000,0.469,0.037,110.000,0.531,0.042,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,57.000,0.275,0.033,136.000,0.657,0.044,8.000,0.039,0.029,1.000,0.005,0.034,5.000,0.024,0.022,52.000,0.251,0.038,136.000,0.657,0.042,11.000,0.053,0.034,3.000,0.014,0.077,5.000,0.024,0.014
TLAXCALA,18.000,0.200,0.017,59.000,0.656,0.018,8.000,0.089,0.015,1.000,0.011,0.014,4.000,0.044,0.010,25.000,0.278,0.018,53.000,0.589,0.016,7.000,0.078,0.020,1.000,0.011,0.022,4.000,0.044,0.018,26.000,0.289,0.014,56.000,0.622,0.018,8.000,0.089,0.031,0.000,0.000,0.000,0.000,0.000,0.000,38.000,0.422,0.017,46.000,0.511,0.016,4.000,0.044,0.027,0.000,0.000,0.000,2.000,0.022,0.025,24.000,0.267,0.018,53.000,0.589,0.016,9.000,0.100,0.034,1.000,0.011,0.056,3.000,0.033,0.009,37.000,0.411,0.018,42.000,0.467,0.014,10.000,0.111,0.046,1.000,0.011,0.036,0.000,0.000,0.000,48.000,0.533,0.018,38.000,0.422,0.014,3.000,0.033,0.064,0.000,0.000,0.000,1.000,0.011,0.033,28.000,0.311,0.016,49.000,0.544,0.016,9.000,0.100,0.033,1.000,0.011,0.034,3.000,0.033,0.013,24.000,0.267,0.018,49.000,0.544,0.015,8.000,0.089,0.025,2.000,0.022,0.051,7.000,0.078,0.020
VERACRUZ,20.000,0.168,0.019,66.000,0.555,0.020,16.000,0.134,0.030,3.000,0.025,0.043,14.000,0.118,0.036,25.000,0.210,0.018,76.000,0.639,0.023,12.000,0.101,0.034,0.000,0.000,0.000,6.000,0.050,0.026,34.000,0.286,0.019,73.000,0.613,0.023,7.000,0.059,0.027,1.000,0.008,0.031,4.000,0.034,0.041,41.000,0.345,0.019,69.000,0.580,0.024,5.000,0.042,0.034,1.000,0.008,0.053,3.000,0.025,0.038,20.000,0.168,0.015,75.000,0.630,0.022,13.000,0.109,0.049,2.000,0.017,0.111,9.000,0.076,0.027,49.000,0.412,0.024,59.000,0.496,0.020,6.000,0.050,0.028,2.000,0.017,0.071,3.000,0.025,0.037,53.000,0.445,0.020,60.000,0.504,0.023,1.000,0.008,0.021,1.000,0.008,0.063,4.000,0.034,0.133,33.000,0.277,0.019,66.000,0.555,0.021,8.000,0.067,0.029,4.000,0.034,0.138,8.000,0.067,0.035,20.000,0.168,0.015,67.000,0.563,0.021,16.000,0.134,0.049,4.000,0.034,0.103,12.000,0.101,0.034
YUCATÁN,21.000,0.168,0.020,70.000,0.560,0.021,19.000,0.152,0.036,4.000,0.032,0.057,11.000,0.088,0.028,16.000,0.128,0.012,83.000,0.664,0.025,14.000,0.112,0.039,2.000,0.016,0.043,10.000,0.080,0.044,24.000,0.192,0.013,86.000,0.688,0.027,13.000,0.104,0.051,0.000,0.000,0.000,2.000,0.016,0.021,36.000,0.288,0.017,77.000,0.616,0.026,9.000,0.072,0.060,0.000,0.000,0.000,3.000,0.024,0.038,23.000,0.184,0.018,75.000,0.600,0.022,13.000,0.104,0.049,0.000,0.000,0.000,14.000,0.112,0.042,38.000,0.304,0.018,81.000,0.648,0.028,4.000,0.032,0.018,2.000,0.016,0.071,0.000,0.000,0.000,46.000,0.368,0.018,75.000,0.600,0.029,4.000,0.032,0.085,0.000,0.000,0.000,0.000,0.000,0.000,28.000,0.224,0.016,80.000,0.640,0.026,8.000,0.064,0.029,1.000,0.008,0.034,8.000,0.064,0.035,23.000,0.184,0.017,77.000,0.616,0.024,15.000,0.120,0.046,0.000,0.000,0.000,10.000,0.080,0.028
ZACATECAS,36.000,0.165,0.035,128.000,0.587,0.039,30.000,0.138,0.056,4.000,0.018,0.057,20.000,0.092,0.051,45.000,0.206,0.033,144.000,0.661,0.043,17.000,0.078,0.047,3.000,0.014,0.065,9.000,0.041,0.040,59.000,0.271,0.033,143.000,0.656,0.045,8.000,0.037,0.031,2.000,0.009,0.063,6.000,0.028,0.062,72.000,0.330,0.033,136.000,0.624,0.047,4.000,0.018,0.027,2.000,0.009,0.105,4.000,0.018,0.050,44.000,0.202,0.034,141.000,0.647,0.041,13.000,0.060,0.049,3.000,0.014,0.167,17.000,0.078,0.051,76.000,0.349,0.036,123.000,0.564,0.042,13.000,0.060,0.060,3.000,0.014,0.107,3.000,0.014,0.037,96.000,0.440,0.037,116.000,0.532,0.044,3.000,0.014,0.064,1.000,0.005,0.063,2.000,0.009,0.067,65.000,0.298,0.038,126.000,0.578,0.041,14.000,0.064,0.051,0.000,0.000,0.000,13.000,0.060,0.057,55.000,0.252,0.040,130.000,0.596,0.040,12.000,0.055,0.037,2.000,0.009,0.051,19.000,0.087,0.053
Hombre,57.000,0.247,0.055,136.000,0.589,0.041,18.000,0.078,0.034,4.000,0.017,0.057,16.000,0.069,0.041,63.000,0.273,0.046,145.000,0.628,0.043,8.000,0.035,0.022,0.000,0.000,0.000,15.000,0.065,0.066,78.000,0.338,0.043,138.000,0.597,0.044,7.000,0.030,0.027,0.000,0.000,0.000,8.000,0.035,0.082,84.000,0.364,0.039,134.000,0.580,0.046,7.000,0.030,0.047,0.000,0.000,0.000,6.000,0.026,0.075,59.000,0.255,0.045,147.000,0.636,0.043,5.000,0.022,0.019,0.000,0.000,0.000,20.000,0.087,0.060,101.000,0.437,0.048,115.000,0.498,0.039,8.000,0.035,0.037,3.000,0.013,0.107,4.000,0.017,0.049,108.000,0.468,0.041,117.000,0.506,0.045,3.000,0.013,0.064,1.000,0.004,0.063,2.000,0.009,0.067,82.000,0.355,0.048,127.000,0.550,0.041,9.000,0.039,0.033,2.000,0.009,0.069,11.000,0.048,0.048,70.000,0.303,0.051,140.000,0.606,0.043,10.000,0.043,0.031,0.000,0.000,0.000,11.000,0.048,0.031
Mujer,983.000,0.193,0.945,3165.000,0.620,0.959,516.000,0.101,0.966,66.000,0.013,0.943,375.000,0.073,0.959,1299.000,0.254,0.954,3198.000,0.626,0.957,350.000,0.069,0.978,46.000,0.009,1.000,212.000,0.042,0.934,1719.000,0.337,0.957,3017.000,0.591,0.956,248.000,0.049,0.973,32.000,0.006,1.000,89.000,0.017,0.918,2088.000,0.409,0.961,2782.000,0.545,0.954,142.000,0.028,0.953,19.000,0.004,1.000,74.000,0.014,0.925,1252.000,0.245,0.955,3259.000,0.638,0.957,260.000,0.051,0.981,18.000,0.004,1.000,316.000,0.062,0.940,1982.000,0.388,0.952,2813.000,0.551,0.961,209.000,0.041,0.963,25.000,0.005,0.893,77.000,0.015,0.951,2514.000,0.492,0.959,2505.000,0.491,0.955,44.000,0.009,0.936,15.000,0.003,0.938,28.000,0.005,0.933,1639.000,0.321,0.952,2957.000,0.579,0.959,264.000,0.052,0.967,27.000,0.005,0.931,219.000,0.043,0.952,1298.000,0.254,0.949,3109.000,0.609,0.957,315.000,0.062,0.969,39.000,0.008,1.000,345.000,0.068,0.969
18 a 20 años,0.000,0.000,0.000,26.000,0.813,0.008,2.000,0.063,0.004,1.000,0.031,0.014,3.000,0.094,0.008,6.000,0.188,0.004,20.000,0.625,0.006,4.000,0.125,0.011,0.000,0.000,0.000,2.000,0.063,0.009,8.000,0.250,0.004,23.000,0.719,0.007,1.000,0.031,0.004,0.000,0.000,0.000,0.000,0.000,0.000,11.000,0.344,0.005,19.000,0.594,0.007,1.000,0.031,0.007,0.000,0.000,0.000,1.000,0.031,0.013,4.000,0.125,0.003,23.000,0.719,0.007,2.000,0.063,0.008,0.000,0.000,0.000,3.000,0.094,0.009,8.000,0.250,0.004,24.000,0.750,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.000,0.313,0.004,22.000,0.688,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.000,0.250,0.005,21.000,0.656,0.007,1.000,0.031,0.004,0.000,0.000,0.000,2.000,0.063,0.009,4.000,0.125,0.003,23.000,0.719,0.007,4.000,0.125,0.012,0.000,0.000,0.000,1.000,0.031,0.003
21 a 30 años,264.000,0.227,0.254,695.000,0.599,0.211,120.000,0.103,0.225,18.000,0.016,0.257,64.000,0.055,0.164,334.000,0.288,0.245,682.000,0.587,0.204,85.000,0.073,0.237,11.000,0.009,0.239,49.000,0.042,0.216,427.000,0.368,0.238,656.000,0.565,0.208,56.000,0.048,0.220,4.000,0.003,0.125,18.000,0.016,0.186,494.000,0.425,0.227,616.000,0.531,0.211,36.000,0.031,0.242,4.000,0.003,0.211,11.000,0.009,0.138,315.000,0.271,0.240,722.000,0.622,0.212,63.000,0.054,0.238,4.000,0.003,0.222,57.000,0.049,0.170,468.000,0.403,0.225,619.000,0.533,0.211,52.000,0.045,0.240,5.000,0.004,0.179,18.000,0.015,0.222,606.000,0.522,0.231,533.000,0.459,0.203,15.000,0.013,0.319,4.000,0.003,0.250,4.000,0.003,0.133,424.000,0.365,0.246,632.000,0.544,0.205,63.000,0.054,0.231,6.000,0.005,0.207,37.000,0.032,0.161,331.000,0.285,0.242,684.000,0.589,0.211,75.000,0.065,0.231,8.000,0.007,0.205,64.000,0.055,0.180
31 a 40 años,312.000,0.167,0.300,1206.000,0.645,0.365,198.000,0.106,0.371,23.000,0.012,0.329,132.000,0.071,0.338,438.000,0.234,0.322,1205.000,0.644,0.360,132.000,0.071,0.369,20.000,0.011,0.435,76.000,0.041,0.335,587.000,0.314,0.327,1136.000,0.607,0.360,103.000,0.055,0.404,15.000,0.008,0.469,30.000,0.016,0.309,742.000,0.397,0.342,1041.000,0.556,0.357,52.000,0.028,0.349,7.000,0.004,0.368,29.000,0.015,0.363,434.000,0.232,0.331,1217.000,0.650,0.357,97.000,0.052,0.366,8.000,0.004,0.444,115.000,0.061,0.342,718.000,0.384,0.345,1035.000,0.553,0.353,77.000,0.041,0.355,9.000,0.005,0.321,32.000,0.017,0.395,902.000,0.482,0.344,942.000,0.503,0.359,16.000,0.009,0.340,4.000,0.002,0.250,7.000,0.004,0.233,595.000,0.318,0.346,1092.000,0.584,0.354,98.000,0.052,0.359,11.000,0.006,0.379,75.000,0.040,0.326,445.000,0.238,0.325,1161.000,0.621,0.357,123.000,0.066,0.378,15.000,0.008,0.385,127.000,0.068,0.357
41 a 50 años,305.000,0.194,0.293,956.000,0.607,0.290,162.000,0.103,0.303,21.000,0.013,0.300,132.000,0.084,0.338,396.000,0.251,0.291,994.000,0.631,0.297,105.000,0.067,0.293,9.000,0.006,0.196,72.000,0.046,0.317,505.000,0.320,0.281,959.000,0.609,0.304,69.000,0.044,0.271,7.000,0.004,0.219,36.000,0.023,0.371,624.000,0.396,0.287,876.000,0.556,0.300,47.000,0.030,0.315,3.000,0.002,0.158,26.000,0.016,0.325,371.000,0.235,0.283,1019.000,0.647,0.299,77.000,0.049,0.291,3.000,0.002,0.167,106.000,0.067,0.315,611.000,0.388,0.293,877.000,0.556,0.300,58.000,0.037,0.267,8.000,0.005,0.286,22.000,0.014,0.272,759.000,0.482,0.289,787.000,0.499,0.300,12.000,0.008,0.255,5.000,0.003,0.313,13.000,0.008,0.433,469.000,0.298,0.273,934.000,0.593,0.303,79.000,0.050,0.289,9.000,0.006,0.310,85.000,0.054,0.370,411.000,0.261,0.300,958.000,0.608,0.295,86.000,0.055,0.265,8.000,0.005,0.205,113.000,0.072,0.317
51 a 60 años,154.000,0.230,0.148,399.000,0.596,0.121,52.000,0.078,0.097,7.000,0.010,0.100,58.000,0.087,0.148,182.000,0.272,0.134,425.000,0.634,0.127,31.000,0.046,0.087,6.000,0.009,0.130,26.000,0.039,0.115,259.000,0.387,0.144,367.000,0.548,0.116,26.000,0.039,0.102,6.000,0.009,0.188,12.000,0.018,0.124,293.000,0.437,0.135,346.000,0.516,0.119,13.000,0.019,0.087,5.000,0.007,0.263,13.000,0.019,0.163,179.000,0.267,0.137,411.000,0.613,0.121,26.000,0.039,0.098,3.000,0.004,0.167,51.000,0.076,0.152,268.000,0.400,0.129,357.000,0.533,0.122,30.000,0.045,0.138,6.000,0.009,0.214,9.000,0.013,0.111,329.000,0.491,0.125,328.000,0.490,0.125,4.000,0.006,0.085,3.000,0.004,0.188,6.000,0.009,0.200,216.000,0.322,0.126,391.000,0.584,0.127,31.000,0.046,0.114,3.000,0.004,0.103,29.000,0.043,0.126,170.000,0.254,0.124,408.000,0.609,0.126,35.000,0.052,0.108,8.000,0.012,0.205,49.000,0.073,0.138
61 a 70 años,5.000,0.192,0.005,19.000,0.731,0.006,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.077,0.005,6.000,0.231,0.004,17.000,0.654,0.005,1.000,0.038,0.003,0.000,0.000,0.000,2.000,0.077,0.009,11.000,0.423,0.006,14.000,0.538,0.004,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.038,0.010,8.000,0.308,0.004,18.000,0.692,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.000,0.308,0.006,14.000,0.538,0.004,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.154,0.012,10.000,0.385,0.005,16.000,0.615,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.000,0.615,0.006,10.000,0.385,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.000,0.346,0.005,14.000,0.538,0.005,1.000,0.038,0.004,0.000,0.000,0.000,2.000,0.077,0.009,7.000,0.269,0.005,15.000,0.577,0.005,2.000,0.077,0.006,0.000,0.000,0.000,2.000,0.077,0.006
71 a 80 años,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
81 a 90 años,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
